countryNameEn,Country Name,英文名称,src\page\service\oms\activity\pages\IBUActivityDetailV2\IBUActivityDetailV2.vue
修改,Edit,修改,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\components\activityApplyModalModify.vue
国家,Country,国家,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\components\activityApplyModalModify.vue
促销申请人,Applicant,促销申请人,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\components\activityApplyModalModify.vue
国家代码,Country,国家代码,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\components\activityApplyModalModify.vue
中文名称,Country Name,中文名称,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\components\activityApplyModalModify.vue
英文名称,Country Name,英文名称,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\components\activityApplyModalModify.vue
用户姓名,User Name,用户姓名,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\components\activityApplyModalModify.vue
员工姓名,Name,员工姓名,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\components\activityApplyModalModify.vue
员工编码,User No.,员工编码,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\components\activityApplyModalModify.vue
list,List,list,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\IBUActivityApplyForAdminV2.vue
国家,Country,国家,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\IBUActivityApplyForAdminV2.vue
操作,Operation,操作,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\IBUActivityApplyForAdminV2.vue
查看,View,查看,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\IBUActivityApplyForAdminV2.vue
主客户名称,Customer Name.,主客户名称,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\IBUActivityApplyForAdminV2.vue
主客户编码,Customer Code.,主客户编码,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\IBUActivityApplyForAdminV2.vue
子客户名称,Sub Customer Name,子客户名称,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\IBUActivityApplyForAdminV2.vue
促销申请人,Applicant,促销申请人,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\IBUActivityApplyForAdminV2.vue
国家代码,Country,国家代码,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\IBUActivityApplyForAdminV2.vue
中文名称,Country Name,中文名称,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\IBUActivityApplyForAdminV2.vue
