topicId,topicId,主题ID,D:\代码库\saafweb\src\page\base\bbs\BbsTopicDetail.vue
content,content,评论,D:\代码库\saafweb\src\page\base\bbs\BbsTopicDetail.vue
floor,floor,楼层,D:\代码库\saafweb\src\page\base\bbs\BbsTopicDetail.vue
评论者Id,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\bbs\BbsTopicDetail.vue
add,Add,新增,D:\代码库\saafweb\src\page\base\bbs\BbsTopicDetail.vue
modify,Modify,修改,D:\代码库\saafweb\src\page\base\bbs\BbsTopicDetail.vue
validationFailed,validation failed!,验证失败！,D:\代码库\saafweb\src\page\base\bbs\BbsTopicDetail.vue
saveSuccess,Save successful!,保存成功！,D:\代码库\saafweb\src\page\base\bbs\BbsTopicDetail.vue
saveFailed,Save failed!,保存失败！,D:\代码库\saafweb\src\page\base\bbs\BbsTopicDetail.vue
deleteSuccess,Delete successful!,删除成功！,D:\代码库\saafweb\src\page\base\bbs\BbsTopicDetail.vue
deleteFailed,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\bbs\BbsTopicDetail.vue
name,name,版块名称,D:\代码库\saafweb\src\page\base\bbs\BbsType.vue
topicsTypeId,topicsTypeId,版块ID,D:\代码库\saafweb\src\page\base\bbs\BbsType.vue
integral,integral,置顶,D:\代码库\saafweb\src\page\base\bbs\BbsType.vue
title,title,主题,D:\代码库\saafweb\src\page\base\bbs\BbsType.vue
content,content,内容,D:\代码库\saafweb\src\page\base\bbs\BbsType.vue
list,List,列表,D:\代码库\saafweb\src\page\base\bbs\BbsType.vue
countTopics,countTopics,帖子数,D:\代码库\saafweb\src\page\base\bbs\BbsType.vue
countComments,countComments,评论数,D:\代码库\saafweb\src\page\base\bbs\BbsType.vue
addTopic,addTopic,新增主题,D:\代码库\saafweb\src\page\base\bbs\BbsType.vue
add,Add,新增,D:\代码库\saafweb\src\page\base\bbs\BbsType.vue
modify,Modify,修改,D:\代码库\saafweb\src\page\base\bbs\BbsType.vue
validationFailed,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\bbs\BbsType.vue
saveSuccess,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\bbs\BbsType.vue
saveFailed,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\bbs\BbsType.vue
deleteSuccess,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\bbs\BbsType.vue
title,title,主题,D:\代码库\saafweb\src\page\base\bbs\BbsTypeDetail.vue
name,name,版块名称,D:\代码库\saafweb\src\page\base\bbs\BbsTypeDetail.vue
orgId,orgId,组织ID,D:\代码库\saafweb\src\page\base\bbs\BbsTypeDetail.vue
bbsTopic,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\bbs\BbsTypeDetail.vue
createBbsType,Create bbs type,创建主题,D:\代码库\saafweb\src\page\base\bbs\BbsTypeDetail.vue
editBbsType,Reply / edit topic (only subject can edit),回复/编缉主题(仅题主可编缉),D:\代码库\saafweb\src\page\base\bbs\BbsTypeDetail.vue
topicsTypeId,topicsTypeId,版块ID,D:\代码库\saafweb\src\page\base\bbs\BbsTypeDetail.vue
integral,integral,置顶,D:\代码库\saafweb\src\page\base\bbs\BbsTypeDetail.vue
content,content,内容,D:\代码库\saafweb\src\page\base\bbs\BbsTypeDetail.vue
commentCount,commentCount,回复次数,D:\代码库\saafweb\src\page\base\bbs\BbsTypeDetail.vue
niceCount,niceCount,点赞次数,D:\代码库\saafweb\src\page\base\bbs\BbsTypeDetail.vue
viewCount,viewCount,浏览次数,D:\代码库\saafweb\src\page\base\bbs\BbsTypeDetail.vue
